ResponseId,Q179,Q4_4,Q80_1,Q256,Q190,Q191,Q120,Q4_2,Q4_3,Q4_5,Q82_1,Q83_1,Q84,Q219_3,Q219_4,Q243_1,Q243_2,Q243_3,Q243_9,Q211,Q86,Q87
R_2Sq7SM1jsqf5zyx,21-30 Stunden,,51,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,47198,,,,173,68,4,,,,,,,Weniger gut,,501-1000€
R_1j7Xt31biFPfcNG,31-40 Stunden,,58,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,75015,,,,168,51,4,,,,,,,Gut,,2501-3000€
R_PwBF6Nv9PaF8MKZ,Nicht erwerbstätig,0,65,Weiblich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,41372,1,0,0,172,74,"0=überhaupt nicht bereit, Risiken einzugehen",sich nicht verändert,sich nicht verändert,52,,,52,Gut,1001-1500€,
R_2aauWjEkFNpT85e,31-40 Stunden,,61,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Fachschulabschluss,31515,,,,162,65,5,,,,,,,Weniger gut,,1001-1500€
R_1N2e9TW8KLwOEq5,Nicht erwerbstätig,,58,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Promotion,30625,,,,166,52,3,,,,,,,Gut,,1001-1500€
R_2TB0QtBvkjiGeyp,31-40 Stunden,,41,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,20095,,,,176,68,5,,,,,,,Gut,,Mehr als 6000€
R_3dJKO7suoeaRvqP,Nicht erwerbstätig,,59,Weiblich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,64686,,,,182,120,5,,,,,,,Schlecht,,501-1000€
R_2XgqSxHNOOLHJXL,Nicht erwerbstätig,0,65,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Fachschulabschluss (DDR),Master",13589,1,0,0,176,79,5,leicht zugenommen,leicht zugenommen,50,,,50,Gut,2501-3000€,
R_ZC2SRbLZ2oCMSbf,31-40 Stunden,0,59,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,87448,1,0,0,183,79,6,sich nicht verändert,leicht zugenommen,87,,,41,Gut,3001-3500€,
R_2UXdJe2Ojd9rmQx,Nicht erwerbstätig,,39,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,34127,,,,176,80,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Zufriedenstellend,,1001-1500€
R_6DmdPJjW2h8nTCV,21-30 Stunden,0,37,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,34121,1,0,0,172,65,6,leicht zugenommen,leicht zugenommen,43,,,47,Gut,4501-5000€,
R_302CXnDRUQQCGRF,31-40 Stunden,0,57,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,22089,1,0,0,170,117,4,sich nicht verändert,sich nicht verändert,50,,100,50,Gut,2501-3000€,
R_2uU5zMUsNhJ55fg,31-40 Stunden,,56,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,30952,,,,180,82,5,,,,,,,Gut,,2501-3000€
R_2tyghMtow7hJQsh,Mehr als 50 Stunden,0,61,Weiblich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,07407,2,0,0,160,80,7,leicht abgenommen,sich nicht verändert,60,,,50,Zufriedenstellend,2001-2500€,
R_1mmcWhxqpzdbRWb,1-10 Stunden,3,26,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,10117,5,2,4,177,82,2,,,,,,,Gut,0-500€,
R_1Qu1Ujv807hjQUi,Nicht erwerbstätig,0,53,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,53894,1,0,0,176,65,"0=überhaupt nicht bereit, Risiken einzugehen",leicht abgenommen,sich nicht verändert,55,,,9,Gut,2501-3000€,
R_1gvXyWLGleFAzJ2,Nicht erwerbstätig,0,66,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,83569,1,0,0,180,100,3,sich nicht verändert,sich nicht verändert,87,,,100,Zufriedenstellend,2501-3000€,
R_zdU4lRqQoYCyjT3,Nicht erwerbstätig,,66,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,22143,,,,158,59,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Zufriedenstellend,,2501-3000€
R_3HjiK7A83tfnW0A,Nicht erwerbstätig,0,36,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,96114,0,0,0,178,84,5,,,,,,,Zufriedenstellend,1001-1500€,
R_AzANsd4RaX4aTgB,11-20 Stunden,,57,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,79258,,,,177,93,4,,,,,,,Weniger gut,,501-1000€
R_27UqOGhAQxUBmUj,0 Stunden,,29,Weiblich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Ohne beruflichen Bildungsabschluss,84359,,,,164,52,3,,,,,,,Zufriedenstellend,,3501-4000€
R_20MTOdtSLXLuQaI,41-50 Stunden,,48,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,56410,,,,173,64,5,,,,,,,Zufriedenstellend,,3501-4000€
R_2uqZtw9mSaPW08m,31-40 Stunden,0,28,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Promotion,63263,1,0,0,169,62,2,stark zugenommen,sich nicht verändert,53,,,43,Sehr gut,7001-7500€,
R_33D185x0SVMmGDe,31-40 Stunden,,44,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,81927,,,,181,72,6,,,,,,,Gut,,3501-4000€
R_3g7YxJph4a52WfV,Nicht erwerbstätig,,50,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss (DDR),04720,,,,158,95,7,,,,,,,Gut,,0-500€
R_1PYrDYFMQjK5wqE,31-40 Stunden,,57,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,83043,,,,162,58,2,,,,,,,Gut,,1501-2000€
R_9B5w2L9gKFDHIpX,41-50 Stunden,0,54,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Fachschulabschluss,51145,1,0,0,168,95,6,sich nicht verändert,sich nicht verändert,70,,100,70,Gut,2501-3000€,
R_x32rAdn4xE7aNX3,Nicht erwerbstätig,0,40,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,93180,1,0,0,166,52,6,sich nicht verändert,sich nicht verändert,61,25,53,55,Zufriedenstellend,2001-2500€,
R_0IBK4izZ3PAVjIB,31-40 Stunden,,56,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,19217,,,,158,58,3,,,,,,,Gut,,1001-1500€
R_3Jf9Ziin0ariRHx,1-10 Stunden,3,53,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,45468,1,0,0,165,72,2,sich nicht verändert,sich nicht verändert,100,,,100,Sehr gut,5501-6000€,
R_3rOlljQ6HxNWJFs,21-30 Stunden,1,23,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,32602,1,0,0,161,66,8,leicht abgenommen,leicht abgenommen,21,23,21,26,Gut,2501-3000€,
R_2B8sb7CyZvZ0rFc,31-40 Stunden,,49,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,68259,,,,157,64,7,,,,,,,Weniger gut,,1501-2000€
R_2ePXPY6wgysGarM,31-40 Stunden,1,45,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,47807,1,0,0,185,96,6,sich nicht verändert,sich nicht verändert,20,,14,21,Gut,4501-5000€,
R_3DjRTv5Huzf47MM,1-10 Stunden,0,19,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,42281,0,2,2,175,55,5,,,,,,,Gut,0-500€,
R_3EBeU8SbFqYKJ1D,31-40 Stunden,0,34,Weiblich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,47447,1,0,0,164,59,4,sich nicht verändert,sich nicht verändert,43,,,60,Gut,4001-4500€,
R_PMSz7QlnBpCiijv,21-30 Stunden,2,41,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Ohne beruflichen Bildungsabschluss,73469,1,0,0,168,59,4,leicht abgenommen,sich nicht verändert,20,,,20,Sehr gut,3501-4000€,
R_qVmgMmStIDBqDMl,31-40 Stunden,,53,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,25746,,,,158,63,1,,,,,,,Gut,,1501-2000€
R_1d4fB7dTZHUELAD,31-40 Stunden,,39,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss,66606,,,,178,92,2,,,,,,,Gut,,2001-2500€
R_1kYpLuXDQjpn856,Nicht erwerbstätig,0,67,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,31319,1,0,0,174,72,6,sich nicht verändert,stark abgenommen,90,,,70,Sehr gut,3001-3500€,
R_1djdWIqORGphHAp,31-40 Stunden,,46,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Lehre/ Berufsausbildung im dualen System,Fachschulabschluss",38557,,,,183,84,5,,,,,,,Gut,,4501-5000€
R_6PsesBLsB5kwugV,Nicht erwerbstätig,0,67,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,50189,1,0,0,179,122,1,sich nicht verändert,sich nicht verändert,40,25,,10,Zufriedenstellend,8501-9000€,
R_3edYPxqCyI5nf6Z,Nicht erwerbstätig,,67,Weiblich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Ohne beruflichen Bildungsabschluss,76149,,,,172,94,1,,,,,,,Zufriedenstellend,,501-1000€
R_tQXl0wyhuTvcmid,31-40 Stunden,0,23,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,10367,0,0,0,163,57,4,,,,,,,Gut,,2001-2500€
R_NVCrWFOp4rGH3VL,1-10 Stunden,0,61,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,47259,1,0,0,167,89,"0=überhaupt nicht bereit, Risiken einzugehen",sich nicht verändert,sich nicht verändert,96,25,,80,Weniger gut,4001-4500€,
R_2SpODxTGI8D0W5x,11-20 Stunden,,54,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,63450,,,,169,75,3,,,,,,,Zufriedenstellend,,501-1000€
R_3CKsdu9WIjQVWWL,31-40 Stunden,,57,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Fachschulabschluss (DDR),06406,,,,175,90,5,,,,,,,Zufriedenstellend,,1501-2000€
R_3Jtt4OvL7TGnvnn,Nicht erwerbstätig,2,66,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Fachschulabschluss,93466,1,0,0,172,118,6,sich nicht verändert,sich nicht verändert,51,,0,50,Gut,3001-3500€,
R_3CWavHSRudXcvlP,31-40 Stunden,,55,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,12309,,,,168,53,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Gut,,3501-4000€
R_300IQb54tyIx2tP,41-50 Stunden,0,30,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,41363,0,0,0,173,76,3,,,,,,,Gut,,2501-3000€
R_1eIZUbHJRSIrcS7,31-40 Stunden,,47,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,85416,,,,183,102,6,,,,,,,Zufriedenstellend,,2501-3000€
R_333A6bYlCKQDHvf,31-40 Stunden,,39,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,78628,,,,175,78,7,,,,,,,Gut,,2001-2500€
R_2rHJfYmOEgqDfcP,11-20 Stunden,1,47,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,12249,1,0,0,166,82,5,stark abgenommen,sich nicht verändert,100,,,100,Weniger gut,3001-3500€,
R_3adzyqiV90bgrBv,Nicht erwerbstätig,4,33,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,71134,1,0,0,161,82,5,sich nicht verändert,sich nicht verändert,47,37,100,37,Gut,0-500€,
R_1iaQsspksPnNaKl,31-40 Stunden,1,55,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,84036,1,0,0,170,70,3,sich nicht verändert,sich nicht verändert,15,,,100,Gut,5501-6000€,
R_1C9nRqGfo80FP4L,41-50 Stunden,0,57,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,63322,1,0,0,176,97,4,sich nicht verändert,sich nicht verändert,3,,,58,Gut,3501-4000€,
R_1NzeCZ6XcPau7GQ,31-40 Stunden,,46,Weiblich,Abschluss der Polytechnischen Oberschule der DDR,Fachschulabschluss,91257,,,,172,78,5,,,,,,,Gut,,3001-3500€
R_3qOJiAwePifnSsB,31-40 Stunden,,55,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,86438,,,,176,90,5,,,,,,,Gut,,3001-3500€
R_1r7TrXFkfC0a66o,41-50 Stunden,,58,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,87772,,,,170,72,2,,,,,,,Gut,,2001-2500€
R_2Xh4o7B32lTQoAk,0 Stunden,,51,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,71546,,,,172,75,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Zufriedenstellend,,1501-2000€
R_1Ns3GfUDNuDSHJH,41-50 Stunden,1,38,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss,16792,0,0,0,165,55,4,,,,,,,Zufriedenstellend,2001-2500€,
R_6g3YYkXljsSK0jD,41-50 Stunden,0,29,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Bachelor,Master",85247,1,0,0,178,87,3,sich nicht verändert,sich nicht verändert,75,,,50,Zufriedenstellend,4501-5000€,
R_3hfGCrPttpKf8Eh,1-10 Stunden,3,56,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,90763,4,2,4,165,106,6,,,,,,,Gut,,1001-1500€
R_3Oc62vCroWJE7TT,0 Stunden,,60,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,27568,,,,184,93,3,,,,,,,Weniger gut,,1001-1500€
R_1IW33e0itYAtanL,Nicht erwerbstätig,,66,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,12357,,,,179,96,1,,,,,,,Zufriedenstellend,,1501-2000€
R_1GVoBj8UKTLjKO4,31-40 Stunden,,33,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,30900,,,,172,78,5,,,,,,,Zufriedenstellend,,5001-5500€
R_3fvfbb34hqSNbIA,31-40 Stunden,,27,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,73269,,,,163,57,5,,,,,,,Gut,,2501-3000€
R_ehrv6QXFL3x8myJ,21-30 Stunden,,62,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,23795,,,,164,61,5,,,,,,,Weniger gut,,0-500€
R_3iVIYYXf3JT9n2v,31-40 Stunden,1,40,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,99438,1,0,0,168,72,5,leicht abgenommen,leicht zugenommen,55,44,73,71,Gut,1501-2000€,
R_3EseWyF31AuADNZ,31-40 Stunden,1,60,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,40880,1,0,0,189,98,6,sich nicht verändert,sich nicht verändert,40,,20,40,Gut,7001-7500€,
R_1lfzQd91Ag39WUO,Nicht erwerbstätig,0,58,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,15569,1,0,0,180,81,2,sich nicht verändert,sich nicht verändert,50,,,50,Weniger gut,2001-2500€,
R_1OqLx16Cdo6dxBu,Nicht erwerbstätig,0,23,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,03046,0,0,0,181,79,4,,,,,,,Gut,,501-1000€
R_1mKGDGad1a3XcUM,11-20 Stunden,,63,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,90491,,,,180,77,2,,,,,,,Weniger gut,,1001-1500€
R_1DwMafdD5nr6WyH,1-10 Stunden,1,55,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,71672,1,1,0,148,55,1,sich nicht verändert,sich nicht verändert,50,100,,100,Weniger gut,2501-3000€,
R_5mOmwm3dY1CFgIh,Nicht erwerbstätig,0,64,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,44267,1,0,0,180,92,2,sich nicht verändert,sich nicht verändert,60,,,35,Zufriedenstellend,4001-4500€,
R_2c6ZerNyZLkfnRH,21-30 Stunden,1,62,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,48703,1,0,0,161,130,"10=sehr bereit, Risiken einzugehen",stark abgenommen,sich nicht verändert,75,,,25,Weniger gut,2501-3000€,
R_Z9U7G3bM37Obz0Z,31-40 Stunden,0,65,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,80937,1,0,0,182,77,5,sich nicht verändert,sich nicht verändert,100,,,90,Gut,2001-2500€,
R_39MYJfHfJZVytm9,21-30 Stunden,,52,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Ohne beruflichen Bildungsabschluss,15936,,,,161,101,5,,,,,,,Gut,,1001-1500€
R_2y3LG9L3zogKmn5,1-10 Stunden,0,36,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Fachschulabschluss,84405,0,0,0,169,45,4,,,,,,,Gut,1501-2000€,
R_3kFLnRQR3wSNvu0,31-40 Stunden,0,44,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,13407,0,0,0,170,55,2,,,,,,,Gut,1501-2000€,
R_pb1LBpjsEyIXpi9,Nicht erwerbstätig,,70,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,48734,,,,178,92,5,,,,,,,Zufriedenstellend,,2001-2500€
R_2VCP08NJNsCZzF9,21-30 Stunden,0,30,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,22880,1,0,0,174,59,6,sich nicht verändert,sich nicht verändert,43,,,42,Zufriedenstellend,1501-2000€,
R_UilE5jswv4jNz45,1-10 Stunden,0,24,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,57074,1,0,0,172,63,7,sich nicht verändert,sich nicht verändert,70,,,90,Sehr gut,0-500€,
R_3hxRCxHh6vIAFCn,Mehr als 50 Stunden,0,27,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,79106,1,0,0,170,63,2,sich nicht verändert,sich nicht verändert,89,,,100,Zufriedenstellend,3001-3500€,
R_9AEiGXyTDNSaCYx,21-30 Stunden,1,57,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,24848,1,0,0,158,64,6,sich nicht verändert,sich nicht verändert,50,,,50,Zufriedenstellend,3001-3500€,
R_1hANbBIgi2R4hsG,31-40 Stunden,,51,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,26725,,,,180,86,2,,,,,,,Zufriedenstellend,,2001-2500€
R_10C12QhNar7YeWG,31-40 Stunden,,32,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,68167,,,,178,77,7,,,,,,,Gut,,2501-3000€
R_vrCxBhRVLmsrY0p,Nicht erwerbstätig,,51,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,45889,,,,185,94,1,,,,,,,Gut,,501-1000€
R_1kFEQv29GidMgUO,Nicht erwerbstätig,0,54,Weiblich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,08209,1,0,0,170,75,1,leicht abgenommen,sich nicht verändert,70,,,90,Weniger gut,1001-1500€,
R_3nvbF38DdU4Prsz,21-30 Stunden,0,57,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,88046,1,0,0,152,86,1,sich nicht verändert,leicht abgenommen,40,,,100,Zufriedenstellend,1001-1500€,
R_sdS2zFVuxuxMHMl,31-40 Stunden,0,35,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,61276,1,0,0,175,76,8,leicht abgenommen,leicht abgenommen,80,,,26,Gut,2001-2500€,
R_1PbdBbarkkkFIBW,31-40 Stunden,0,27,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,74235,0,2,1,178,58,6,,,,,,,Weniger gut,6001-6500€,
R_2cciygwOd9zA4DT,1-10 Stunden,,48,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss,80807,,,,172,75,6,,,,,,,Zufriedenstellend,,1501-2000€
R_RkIZtt59MgWRgQx,31-40 Stunden,,34,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,77948,,,,181,134,7,,,,,,,Gut,,2001-2500€
R_1r0UQWuEZVx8VCa,41-50 Stunden,,43,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,44797,,,,176,103,6,,,,,,,Gut,,2501-3000€
R_12h8nUCoTEQRBWX,41-50 Stunden,,43,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,15749,,,,173,81,2,,,,,,,Zufriedenstellend,,2001-2500€
R_1CDSJorbAaS6fLR,31-40 Stunden,,39,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,99734,,,,185,92,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Sehr gut,,3001-3500€
R_1mREnlMEynYwy2h,11-20 Stunden,,55,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,93413,,,,166,73,8,,,,,,,Gut,,0-500€
R_3q82HbvljYCnda2,31-40 Stunden,,47,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,30419,,,,168,50,5,,,,,,,Zufriedenstellend,,3001-3500€
R_BFKJBNrshbx4SfD,41-50 Stunden,0,34,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Master,Diplom",40626,1,0,0,184,100,7,sich nicht verändert,sich nicht verändert,,,,,Zufriedenstellend,8501-9000€,
R_ANzVwgXSDW0RMEF,21-30 Stunden,,60,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,42277,,,,180,82,4,,,,,,,Weniger gut,,1001-1500€
R_W2PFSlvRll8jVzb,Nicht erwerbstätig,2,28,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,07549,0,0,0,166,88,9,,,,,,,Weniger gut,0-500€,
R_22KOtBwhvnKIrlr,1-10 Stunden,1,22,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,25451,0,2,0,162,53,6,,,,,,,Sehr gut,2501-3000€,
R_2ZVJkXDmMBPT5pV,31-40 Stunden,,61,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,49214,,,,184,77,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Gut,,2501-3000€
R_Dk2SmVaYbeu0R7b,31-40 Stunden,,56,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,51069,,,,164,56,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Zufriedenstellend,,1501-2000€
R_BVpaQnuLmyACTMB,31-40 Stunden,0,31,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,71364,1,0,0,177,65,4,leicht abgenommen,sich nicht verändert,95,,,100,Zufriedenstellend,4001-4500€,
R_Rt9OMuEXi51bl05,31-40 Stunden,1,40,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,04668,1,0,0,160,73,5,stark abgenommen,stark abgenommen,50,50,50,80,Sehr gut,3001-3500€,
R_3gSl5bqY7c1JK5Q,11-20 Stunden,2,41,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,66663,1,0,0,168,69,2,sich nicht verändert,sich nicht verändert,90,70,100,80,Gut,3501-4000€,
R_3PAaKzRZXlGUUtf,41-50 Stunden,1,39,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,44879,1,0,0,166,51,3,sich nicht verändert,sich nicht verändert,88,8,28,27,Sehr gut,5501-6000€,
R_2xOTmex7GekuJlY,31-40 Stunden,0,42,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,44147,1,0,0,172,75,5,sich nicht verändert,sich nicht verändert,50,,,50,Gut,3001-3500€,
R_2tJTH3WdQhiNo3W,Nicht erwerbstätig,2,37,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,31180,1,0,0,165,50,5,sich nicht verändert,sich nicht verändert,73,32,,54,Gut,2501-3000€,
R_3ey0IPyxfbLbUtU,11-20 Stunden,,35,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Fachschulabschluss,85250,,,,178,79,8,,,,,,,Weniger gut,,1501-2000€
